Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec
26/04/2021,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
27/04/2021,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
28/04/2021,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
29/04/2021,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
22/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,"Coahuila: Central de Abasto de La Laguna, Torreón",150,160,150
23/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,"Coahuila: Central de Abasto de La Laguna, Torreón",150,160,150
26/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,"Coahuila: Central de Abasto de La Laguna, Torreón",150,160,150
27/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,"Coahuila: Central de Abasto de La Laguna, Torreón",150,160,150
28/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,"Coahuila: Central de Abasto de La Laguna, Torreón",150,160,150
29/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,"Coahuila: Central de Abasto de La Laguna, Torreón",150,160,150
22/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,Durango: Centro de Distribución y Abasto de Gómez Palacio,212,216,215
23/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,Durango: Centro de Distribución y Abasto de Gómez Palacio,212,216,215
26/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,Durango: Centro de Distribución y Abasto de Gómez Palacio,212,216,215
27/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,Durango: Centro de Distribución y Abasto de Gómez Palacio,200,205,200
28/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,Durango: Centro de Distribución y Abasto de Gómez Palacio,200,205,200
29/04/2021,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalaientes,Durango: Centro de Distribución y Abasto de Gómez Palacio,200,205,200
22/04/2021,Lechuga Romanita grande,Primera,Pieza,Aguascalaientes,San Luis Potosí: Centro de Abasto de San Luis Potosí,8,9,8
23/04/2021,Lechuga Romanita grande,Primera,Pieza,Aguascalaientes,San Luis Potosí: Centro de Abasto de San Luis Potosí,8,9,8
26/04/2021,Lechuga Romanita grande,Primera,Pieza,Aguascalaientes,San Luis Potosí: Centro de Abasto de San Luis Potosí,8,9,9
27/04/2021,Lechuga Romanita grande,Primera,Pieza,Aguascalaientes,San Luis Potosí: Centro de Abasto de San Luis Potosí,8,9,9
28/04/2021,Lechuga Romanita grande,Primera,Pieza,Aguascalaientes,San Luis Potosí: Centro de Abasto de San Luis Potosí,8,9,9
29/04/2021,Lechuga Romanita grande,Primera,Pieza,Aguascalaientes,San Luis Potosí: Centro de Abasto de San Luis Potosí,8,9,9
22/04/2021,Betabel,Primera,Kilogramo,Aguascalaientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",18,20,20
23/04/2021,Betabel,Primera,Kilogramo,Aguascalaientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",18,20,20
26/04/2021,Betabel,Primera,Kilogramo,Aguascalaientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",20,23,23
27/04/2021,Betabel,Primera,Kilogramo,Aguascalaientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",20,23,23
28/04/2021,Betabel,Primera,Kilogramo,Aguascalaientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",21,24,24
29/04/2021,Betabel,Primera,Kilogramo,Aguascalaientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",21,24,24
27/04/2021,Acelga,Primera,Arpilla de 10 kg.,Aguascalaientes,Veracruz: Central de Abasto de Jalapa,1,2,1
22/04/2021,Calabacita regional,Primera,Kilogramo,Aguascalaientes,Zacatecas: Mercado de Abasto de Zacatecas,18,18,18
