Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec,Obs.
23/04/2019,Nopal grande,Primera,Caja de 34 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",140,155,150,
24/04/2019,Nopal grande,Primera,Caja de 34 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",150,160,160,
25/04/2019,Nopal grande,Primera,Caja de 34 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",155,160,160,
26/04/2019,Nopal grande,Primera,Caja de 34 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",150,160,160,
29/04/2019,Nopal grande,Primera,Caja de 34 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",140,150,140,
22/04/2019,Zanahoria mediana,Primera,Arpilla de 19 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",110,120,110,
23/04/2019,Zanahoria mediana,Primera,Arpilla de 19 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",115,120,115,
24/04/2019,Zanahoria mediana,Primera,Arpilla de 19 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",115,120,115,
25/04/2019,Zanahoria mediana,Primera,Arpilla de 19 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",110,120,115,
26/04/2019,Zanahoria mediana,Primera,Arpilla de 19 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",115,120,115,
29/04/2019,Zanahoria mediana,Primera,Arpilla de 19 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",115,120,120,
22/04/2019,Acelga,Primera,Kilogramo,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,12,14,13,
23/04/2019,Acelga,Primera,Kilogramo,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,12,14,13,
24/04/2019,Acelga,Primera,Kilogramo,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,12,14,13,
25/04/2019,Acelga,Primera,Kilogramo,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,12,14,13,
26/04/2019,Acelga,Primera,Kilogramo,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,12,14,13,
29/04/2019,Acelga,Primera,Kilogramo,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,12,14,13,
22/04/2019,Betabel,Primera,Kilogramo,Aguascalientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",15,16,16,
23/04/2019,Betabel,Primera,Kilogramo,Aguascalientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",15,16,16,
24/04/2019,Betabel,Primera,Kilogramo,Aguascalientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",15,16,16,
25/04/2019,Betabel,Primera,Kilogramo,Aguascalientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",15,16,16,
26/04/2019,Betabel,Primera,Kilogramo,Aguascalientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",15,16,16,
29/04/2019,Betabel,Primera,Kilogramo,Aguascalientes,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",15,16,16,
22/04/2019,Calabacita regional,Primera,Kilogramo,Aguascalientes,Zacatecas: Mercado de Abasto de Zacatecas,11,11,11,
23/04/2019,Calabacita regional,Primera,Kilogramo,Aguascalientes,Zacatecas: Mercado de Abasto de Zacatecas,11,11,11,
24/04/2019,Calabacita regional,Primera,Kilogramo,Aguascalientes,Zacatecas: Mercado de Abasto de Zacatecas,14,14,14,
25/04/2019,Calabacita regional,Primera,Kilogramo,Aguascalientes,Zacatecas: Mercado de Abasto de Zacatecas,14,14,14,
26/04/2019,Calabacita regional,Primera,Kilogramo,Aguascalientes,Zacatecas: Mercado de Abasto de Zacatecas,12,12,12,
29/04/2019,Calabacita regional,Primera,Kilogramo,Aguascalientes,Zacatecas: Mercado de Abasto de Zacatecas,12,12,12,
22/04/2019,Chile de Árbol seco,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,100,110,110,
23/04/2019,Chile de Árbol seco,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,100,110,110,
24/04/2019,Chile de Árbol seco,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,100,110,110,
