Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec,Obs
24/04/2020,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19,
27/04/2020,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19,
28/04/2020,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19,
29/04/2020,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19,
22/04/2020,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4.5,4,
23/04/2020,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4.5,4,
24/04/2020,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4.5,4,
27/04/2020,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4.5,4,
28/04/2020,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4.5,4,
29/04/2020,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4.5,4,
22/04/2020,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
23/04/2020,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
24/04/2020,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
27/04/2020,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
28/04/2020,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
29/04/2020,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
22/04/2020,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
23/04/2020,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
24/04/2020,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
27/04/2020,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
28/04/2020,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
29/04/2020,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,7,6.5,
22/04/2020,Nopal,Primera,Caja de 20 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,70,80,75,
23/04/2020,Nopal,Primera,Caja de 20 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,70,80,75,
24/04/2020,Nopal,Primera,Caja de 20 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,70,80,75,
